titre,text,label
Effondrement de la dotation du fédéral,"Le Sociaal-Economische Raad van Vlaanderen , un service d’études du Parlement flamand, vient de publier une étude d’une centaine de pages relative aux dotations versées par le gouvernement fédéral aux entités fédérées dans le cadre de la sixième réforme de l’État. En ce qui concerne la Wallonie et la Fédération Wallonie-Bruxelles — groupées pour ne former qu’une entité au sein de cette étude —, les prévisions sont plutôt décourageantes: la dotation diminuerait de 1,4 milliard d’euros d’ici à 2029 et de  1,8 milliard d’euros d'ici à 2038.  Monsieur le Ministre, confirmez-vous les prévisions de ce rapport? La Région bruxelloise et la Région flamande devraient faire face à une perte similaire, mais moindre. Est-ce conforme à vos prévisions? Des mesures supplémentaires s’imposent-elles? Indépendamment d’une éventuelle septième réforme de l’État, un  changement d’orientation est-il de mise pour éviter la faillite? ",Budget
Candidature de Bruxelles pour organiser les championnats du monde de cyclisme en 2030,"La Belgique est une terre de cyclisme, elle compte énormément de champions et elle connaît un formidable l’engouement populaire lors des courses cyclistes organisées sur son territoire ou pour les étapes du Tour de France. En 2021, la Flandre a organisé les championnats du monde de cyclisme. Cet événement a rencontré un très grand succès. Aujourd’hui, en vue du bicentenaire de la Belgique, Bruxelles a posé sa candidature pour organiser les championnats du monde de cyclisme en 2030.  Madame la Ministre, soutenez-vous cette candidature? Quelles seraient les retombées pour la Fédération Wallonie-Bruxelles? Si, comme je l’espère, vous  soutenez cette candidature, comment comptez-vous le faire? ",Jeunesse et Sport 
La RTBF interrompt la diffusion d’un match des Red Flames avant la fin de celui-ci,"La visibilité du sport féminin est un sujet important pour le groupe MR. Plusieurs d'entre nous sont déjà intervenus sur ce dossier, dont Mme Sobry ainsi que MM. Maroy et Dodrimont. La ministre Glatigny a  pris plusieurs initiatives afin d’accroître cette visibilité du sport féminin.  Ce qui s’est passé le 6 octobre dernier nous a fortement surpris. En effet, l’équipe nationale féminine de football était en train de jouer une rencontre décisive pour sa qualification à la coupe du monde et à une minute trente de la fin CRI N°4 du match, la diffusion est interrompue et remplacée par de la publicité portant  sur le match à venir de l'Union saint-gilloise en Europa League.  Cette manière de se comporter avec notre équipe nationale féminine de football est inacceptable. Je ne peux pas imaginer ce qu’il se serait passé si le match que nous étions en train de suivre à ce moment-là était une rencontre des Diables  Rouges. Je ne pense pas que ce match aurait été interrompu.  Dans quelles circonstances la RTBF a-t-elle décidé d'interrompre la fin de ce match? Comment faire pour éviter que pareille situation ne se reproduise? Quelles mesures souhaitez-vous continuer de mettre en œuvre, avec l’ensemble du gouvernement, pour revaloriser la place des femmes dans le domaine du sport? Je sais que ce sujet vous tient à cœur et nous constatons ici qu'il est absolument nécessaire de prendre des mesures. Dans de telles circonstances, il est essentiel de donner un signal. Quel signal comptez-vous donner pour que le  sport féminin ait dorénavant la place qu'il mérite?",Interculturalité et Egalité des Chances 
Les médecins spécialistes en formation croulent sous le travail,"Un rapport alarmant du SPF Santé publique évoque la surcharge de travail des futurs médecins spécialistes qui sont en formation dans les hôpitaux. Les auteurs du rapport utilisent des mots forts,puisqu'ils n’hésitent pas à qualifier les années de formation et de stage dans les hôpitaux de «calvaire». Les horaires sont sans fin et le travail dure, dans cer-
tains cas, jusqu’au bout de la nuit. Certains médecins en formation font état d’une charge de travail allant de 80 à 90 heures par semaine. Une autre inquiétude vient du fait qu’un peu plus de la moitié de ces médecins affirment que leur maître de stage ne les guide pas de manière attentive lors de la formation et de l’apprentissage, notamment dans le suivi des cas présentés. Cela constitue un risque tant pour la santé des patients que pour celle de ces médecins au vu des difficultés auxquelles ils sont confrontés. Cela expose aussi
les médecins à un risque d’erreur médicale, Madame la Ministre, avez-vous pris connaissance de ce rapport? Avez-vous eu des contacts avec le pouvoir fédéral à ce sujet? Qu’estimez-vous devoir faire pour rendre les conditions de travail acceptables pour ces médecins spécialistes en formation? Avez-vous eu un contact avec les délégations francophones des médecins en formation? En tant que ministre des Hôpitaux universitaires, pensez-vous que les moyens financiers et humains sont suffisants pour la formation des médecins spécialistes, indépendamment de l'hôpital dans lequel ils travail-
lent? Envisagez-vous une prise en compte plus qualitative du travail et de la formation des nombreux candidats médecins qui se destinent à des spécialités?",Enseignement supérieur et Promotion Sociale 
Les auteurs belges francophones en situation de grande précarité," Madame la Ministre, nous ne parlons pas souvent de littérature dans ce Parlement et pourtant, en tant que romanistes, nous avons ce centre d’intérêt en commun. Je ne vous interroge pas sur la qualité, bien réelle, des œuvres produites en Fédération Wallonie-Bruxelles, mais plutôt sur les conditions socio-économiques dans lesquelles les auteurs de notre Fédération  doivent travailler.  Une étude récente réalisée par l’ASBL Bela jette une lumière assez crue sur ces conditions. Elle révèle notamment que trois quarts des auteurs vivent avec un revenu inférieur à 1 000 euros par mois tirés de leur activité. Ce n’est pas telle’ D . . . . D D ment étonnant lorsqu'on sait que, sur un livre vendu une vingtaine d’euros, l’auteur n’en reçoit que 1,5 voire maximum 2 euros. Il faut déjà en vendre beaucoup pour pouvoir en vivre. [l y a certes quelques best-sellers, mais ils font figure d’exceptions et sont les arbres qui cachent la forêt.  Au-delà de ces situations socio-économiques, l’étude révèle également un manque de reconnaissance et de considération ressenti par les personnes interrogées. Plus grave encore, elle fait apparaître une situation de détresse psychologique dans 7 % des cas. Sans vouloir réactiver l’image mythique du poète maudit ou de l’écrivain au ban de la société, le constat qui doit être posé ici et maintenant est bel et  bien celui d’une extrême précarité. CRI N°12 Madame la Ministre, comment réagissez-vous vis-à-vis de ce constat”? Quelles réponses pouvez-vous apporter à cette situation? Trois demandes sont clairement exprimées par les auteurs: d’abord celle d’un refinancement, le financement actuel étant jugé insuffisant; ensuite, celle d’un accompagnement d'ordre psychologique, pour aider les auteurs et autrices à sortir de l’isolement qu'ils et elles ressentent; enfin, celle d’un accompagnement plus professionnel pour leur permettre entre autres de bénéficier de plus de visibilité.  Quelles sont les initiatives nouvelles en matière de promotion des lettres belges de langue française? Je rappelle que c’est l’une des missions de notre Communauté depuis sa création. Quelle est, d’après les informations vous revenant du terrain, votre appréciation de la mise en œuvre de la réforme du statut des artistes entrée en application? Pensez-vous qu’elle constitue une réponse suffisante à  cette situation d’extrême précarité de nos auteurs?",Culture et média 
Réduction de la subvention accordée à bpost pour la distribution de la presse périodique," À la suite d’une proposition émanant, peutêtre, du président du MR, le niveau fédéral a décidé de réduire de 50 millions d’euros les moyens dévolus à bpost pour la distribution gratuite des périodiques. C’est un mauvais coup porté à la presse périodique. Qu'elle soit journalière ou hebdomadaire, la presse écrite est évidemment dans une situation très difficile. Depuis déjà plusieurs années, le secteur souffre de difficultés structurelles, sans parler de la diminution des recettes publicitaires. Désormais, plusieurs facteurs conjoncturels tels que la hausse du prix du papier ou l’indexation viennent noircir encore davantage le tableau.  Madame la Ministre, dans quelle mesure avez-vous anticipé cette mauvaise nouvelle, étant donné qu’elle avait été sollicitée, suggérée, proposée, voire annoncée par le président du MR?  Dès l’annonce de cette nouvelle, l’Association des journalistes professionnels et le collectif Kiosque qui regroupe une série de médias belges ont exprimé leur indignation et leur inquiétude. Dans ce contexte, quels contacts utiles avez-vous pris pour tenter d'empêcher cette mesure? Quelle est la marge de manœuvre pour limiter la casse? Partagez-vous les inquiétudes du secteur, la presse écrite étant déjà en grande difficulté? Ce nouveau coup dur a été porté par les pouvoirs publics qui devraient pourtant être les premiers à soutenir cette liberté de presse essentielle à la démocratie. La défense de cette valeur suppose évidemment que toutes les conditions, entre autres financières, soient réunies pour que tous les citoyens aient accès à une presse libre et indépendante dont  nous nous enorgueillissons.",Culture et média 
Reprise des écoles de devoirs et autres lieux d’accueil extrascolaire,"Ce week-end, la Première ministre déclarait dans une interview à la presse qu’un groupe de travail planche actuellement sur la réorganisation et le nouvel accès aux milieux d’accueil et les écoles de devoirs. Le but avoué étant de rouvrir ceux-ci progressivement.  Dans le même temps, l’Office de la naissance et de l’enfance a publié un document le 3 mai 2020 précisant que les écoles de devoirs peuvent reprendre leurs activités à partir du 4 mai 2020, mais en respectant toutes les mesures sanitaires et de distanciation physique imposées par le Conseil national de sécurité .  Cette reprise est prévue de manière différenciée pour chaque EDD en termes de dates et d'organisation, dans le but d’une reprise pour l’année 2021. Pour rappel, les EDD et les milieux d’accueil extrascolaire sont des atouts majeurs dans la lutte contre le décrochage scolaire.  Enfin, il semble utile, voire très important, de préparer une reprise dans un souci de prévention des inégalités et dans un souci de développement des enfants, surtout pour les élèves qui ne seront pas visés par le retour progressif à l’école, tel qu’il est prévu par la ministre de l’Enseignement. Madame la Ministre, pouvez-vous déjà brosser un premier aperçu de la reprise des activités des écoles de devoirs en Fédération WallonieBruxelles? Avez-vous eu vent de certains freins à cette reprise, émanant du terrain ou de certains secteurs? Dans le contexte pédagogique actuel très mouvementé, des dispositions spéciales sont-elles prévues pour la période estivale? Enfin, le groupe de travail a-t-il déjà pu prendre connaissance des recommandations du groupe d’experts en charge de l’Exit Strategy à ce sujet?",Enfance
Conférence interministérielle (CIM) Culture du 12 mai 2020,"Madame la Ministre, le soutien à la culture et aux acteurs qui la font vivre revêt une importance majeure pour notre institution. Dès lors, il convient d’être particulièrement attentif à son évolution.  Cette semaine, deux étapes importantes ont été franchies avec la conférence interministérielle Culture qui s’est réunie hier et le Conseil national de sécurité qui s’est tenu aujourd’hui. Ces étapes importantes ont été suivies de près par l’ensemble du secteur, générant de nombreuses réactions.  Le groupe socialiste estime que notre Assemblée se doit d'accompagner la méthodologie de sortie de crise liée au déconfinement. Notre volonté est que tant les artistes que le public puissent se retrouver dans les meilleures conditions.  Je voudrais au préalable réaffirmer, comme hier lors de la réunion de la commission de la Culture, que nous serons à vos côtés pour que vous puissiez obtenir du niveau fédéral les mesures qui s’imposent pour sortir le secteur de son incertitude et de sa précarité. Nous serons avec vous, Madame la Ministre!  Un calendrier plus précis est-il déjà disponible pour la prochaine CIM Culture? Nous avons appris que les musées et bibliothèques seront bien déconfinés le lundi 18 mai, mais que, pour le reste, le statu quo est toujours de rigueur. Un rapport sera toutefois remis au groupe d’experts en charge de l’Exit Strategy pour la fin de la semaine. Quelle est la procédure exacte menant à un pas supplémentaire dans le déconfinement du secteur? Quelles en seront les étapes et la procédure précise? Un dialogue a-t-il déjà été établi avec les pouvoirs locaux: les villes, les communes et les unions des villes et des communes? Ils constituent en effet des maillons importants de la chaîne et ont un rôle majeur à jouer pour que les artistes et le public puissent se retrouver dans les meilleures conditions.",Culture et média 
Utilisation du hall d’athlétisme du Blocry pour les examens pour les étudiants,"L'Université catholique de Louvain , en raison de la crise sanitaire actuelle, a obtenu l’autorisation d’occuper le hall d’athlétisme du Blocry, inauguré il y a un an. En effet, le respect de la distanciation  CRI N°17sociale lors de certains examens en présentiel nécessite de disposer de grands espaces pour une question d’organisation. Les travaux d'aménagement y auront donc lieu afin d’y installer 200 bureaux et les connexions informatiques.  Des aménagements particuliers sont-ils prévus pour garantir la bonne compatibilité entre les examens organisés et les spécificités d’une telle infrastructure sportive? Comme vous le savez, Madame la Ministre, cette salle d’athlétisme est la seule en Fédération Wallonie-Bruxelles à disposer d’une piste couverte de 200 mètres. Plusieurs athlètes de haut niveau s’y entraînent et occupent cette salle depuis le début de la crise du Covid-19. Ils seront donc privés de cet important outil du 28 mai au 4 juillet, période durant laquelle les examens auront lieu. Quelles solutions l’administration de l’éducation physique et des sports a-t-elle dégagées, en concertation avec les fédérations et ses sportifs de haut niveau, afin de permettre à ces athlètes de continuer leurs entraînements pendant cette période? ",Enseignement supérieur et Promotion Sociale 
Accueil par la Belgique des mineurs étrangers non accompagnés (MENA) provenant de camps des îles grecques,"Madame la Ministre, l’accueil des migrants en Grèce donne actuellement lieu à des situations dramatiques. En effet, 42 000 migrants se trouvent aujourd’hui dans des camps situés sur des îles grecques dont la capacité d’accueil initiale est limitée à 6 000 personnes. Et le drame prend encore une tout autre proportion quand on sait que, parmi ces 42 000 personnes, 1 600 sont des mineurs étrangers non accompagnés . Ces jeunes ont donc quitté leur pays et, en plus, ils ne sont pas accompagnés par un parent ou un adulte susceptible de les aider.  La Commission européenne n’est pas insensible à ce drame et a décidé d’accueillir les 1 600 mineurs selon un plan de répartition entre l’ensemble des États membres. La commission des Relations extérieures de la Chambre des représentants a voté, 1l y a quelques jours, une résolution permettant à la Belgique de prendre sa part dans ce plan de répartition. À la suite du vote, la ministre De Block a indiqué être en mesure d’accueillir 18 mineurs sur le territoire belge.  Le but de ma question n’est pas d’évaluer si ce nombre est suffisant. À l’évidence, il ne l’est pas: 18 sur 1 600, c’est bien sûr très peu. Parmi ces 18 mineurs, certains sont identifiés comme étant particulièrement vulnérables, voire en danger. Par conséquent, ils pourraient relever de l’Administration de l’aide à la jeunesse et se retrouveraient à ce moment-là sous votre tutelle ministérielle, au même titre que l’ensemble des enfants vivant une situation de danger en Fédération Wallonie-Bruxelles.  Je souhaiterais dès lors savoir si vous avez eu un contact avec l’ Agence fédérale pour l’accueil des demandeurs d’asile ou la ministre De Block pour envisager cette hypothèse. Avezvous été associée à une concertation à ce sujet? Les capacités d’accueil de la Fédération WallonieBruxelles sont-elles suffisantes pour assumer la mission de l’ Administration de l’aide à la jeunesse et protéger ces mineurs en danger, qu’ils soient étrangers ou non, accompagnés ou non?",Politique et International
Suppression des subventions pour les spectacles théätraux  i  d’été à l’Abbaye de Villers-la-Ville,"Est-il encore permis en Fédération Wallonie-Bruxelles d’avoir du succès et de l’ambition? Je peux raisonnablement se poser la question à la suite de la décision de ne pas reconduire les subventions octroyées au spectacle théâtral estival de Villers-la-Ville. Celui-ci est pourtant une véritable success story qui dure depuis 36 ans. Ainsi, cet été, ce ne sont pas moins de 21 000 spectateurs qui sont venus applaudir la magnifique adaptation de «Roméo et Juliette» dans le cadre des ruines de l’Abbaye de Villers-la-Ville qui est un des joyaux du patrimoine de Wallonie. Ce spectacle est le carton de l’été et c’est du «made in chez nous» avec 75 comédiens, machinistes, administratifs ou techniciens. Fort logiquement, je m'attends à ce que la Fédération WallonieBruxelles soutienne ce succès et en soit fière. Pourtant, par deux fois, en 2020 et en 2021, Madame la Ministre, vous avez refusé de reconduire les subventions octroyées à cette production estivale, suivant certes en cela l’avis négatif rendu  par la commission d’avis compétente.  Du reste, les motivations contenues dans cette décision interpellent: la première consiste à dire que ce spectacle n’a pas besoin des subventions de la Fédération Wallonie-Bruxelles puisqu'il bénéficie déjà de celles d’autres niveaux de pouvoir  tels que la province et la Région wallonne, ainsi que de sponsors privés. Est-ce CRI N°1 que les subventions sont réservées à des opérateurs qui présentent un budget en déséquilibre? Est-ce qu’il existe une prime à la mauvaise gestion? Le succès et  l'ambition ne méritent-ils pas d’être soutenus?  La deuxième motivation est le manque de parité de genre dans le choix des metteurs en scène. J’ai relu le décret en vigueur et je n’y trouve pas ce critère. J'aimerais vous entendre à ce sujet, Madame la Ministre. Un malaise existe puisque, dans un article paru dans «Le Soir» il y a quelques jours, vous-même, ou quelqu'un de votre cabinet, précisez que «le nouveau décret recommande de tendre vers plus de parité, mais ce n’est aucunement un critère déterminant, ni une sanction.» En mai dernier, toujours dans «Le Soir», vous disiez que «les acteurs culturels nous disent qu’ils ne pourraient, pour chaque projet, considérer qu'il faut une femme, un homme, etc. La liberté artistique reste un fondement des politiques culturelles. Il est prévu d’avoir une attention accrue à la diversité de genre. Cela se conçoit de manière globale et pas du tout de projet à projet.» Or, ici, c’est exactement l'inverse que vous faites. Pourquoi avez-vous suivi l’avis remis par la commission d’avis alors que cette dernière s’écarte très clairement des critères prévus dans le décret  ? Qu’en est-il de la liberté de création  avec cette interprétation abusive des critères repris dans le décret ?",Culture et média 
Pénurie de places en crèches,"Depuis des années, la pénurie de places en crèches est un souci pour de nombreuses familles et un thème récurrent à l’époque de la rentrée. Cependant, elle semble s’aggraver d’année en année et atteindre désormais un niveau inquiétant. Les raisons de ce phénomène sont le manque de bâtiments adaptés, l'insuffisance de subventions pour la création de crèches même si des aides ont déjà été octroyées à ce poste, la pénurie de puéricultrices, d’accueillantes et en général de personnes intéressées par ces métiers. La France fait également face à un déficit criant d’effectifs, qu’on surnomme  «la grande démission».  Madame la Ministre, comment éviter une telle situation en Belgique? Comment sortir de la pénurie, alors que les demandes dépassent largement l'offre? Comment inciter à la création de crèches, notamment privées? Comment redonner de  l'intérêt pour un métier si important ? ",Enfance
Nomination de la nouvelle déléguée générale ou du nouveau délégué général aux droits de l’enfant," Mme Durenne a parlé de pénurie et j’espère que nous n’aurons pas de peine à désigner le nouveau délégué général aux droits de l'enfant . Demain, Bernard De Vos offrira un verre pour célébrer sa sortie de fonction, mais, à l’heure actuelle, nous ignorons toujours qui lui succédera.  Les articles de presse parus récemment font état de nombreuses interrogations à ce sujet et j'espère que les enfants de la Fédération Wallonie-Bruxelles ne seront pas laissés-pour-compte. Madame la Ministre, c’est à la fois la rentrée scolaire et la rentrée parlementaire. Or, au mois de juillet dernier, nous avons voté à l'unanimité l’avis rendu par le comité des parlementaires et le jury des experts.  Dès lors, quelle est la position du gouvernement sur cet avis",Enfance
PSG,"Le titre de ma question tient en trois lettres: «PSG», pour «pitoyablement sans gêne», comme le fou rire de Kylian Mbappé et les propos de Christophe Galtier en conférence de presse. À un journaliste qui l’interpellait sur l’opportunité pour les joueurs du Paris-Saint-Germain de prendre le train plutôt que l’avion pour un déplacement de très courte distance entre  Paris et Nantes, l'entraîneur parisien a ironisé en parlant de chars à voile.  Ces faits donnent l’impression que certains sportifs de haut niveau, très minoritaires, appartiennent à une classe sociale complètement déconnectée de la réalité écologique et des défis auxquels la société fait face. Ils sont totalement déconnectés de la réalité des citoyens qui font des efforts au quotidien pour la sauvegarde de la planète et de ceux qui se privent pour honorer à la fin du mois leur facture énergétique. Dans cette affaire, il est aussi question de justice sociale. Ces sportifs sont également très loin des gens qui ont vécu les premiers effets des dérèglements climatiques, à savoir la sécheresse et les inondations.  Aujourd’hui, j'aurais rêvé que Kylian Mbappé, et les sportifs de haut niveau de manière générale, soient des ambassadeurs de la cause climatique. Imaginez l'influence qu'ils pourraient avoir s’ils appuyaient utilement le discours des  scientifiques du Groupe d’expert intergouvernemental sur l’évolution du climat  .  Madame la Ministre, comment vous assurez-vous que les sportifs de haut niveau et que les acteurs du monde du sport professionnel s'engagent très concrètement en faveur de la cause climatique? Comment faites-vous en sorte que le mouvement sportif se dote d’une véritable stratégie de décarbonation? Je ne vise pas ici les initiatives ponctuelles qui ont vu le jour. Je plaide plutôt en faveur d’un vrai suivi, au moyen d'indicateurs, afin que les membres du secteur sportif contribuent aux objectifs de l’Accord de Paris sur le climat.",Jeunesse et Sport 
Craintes d’une nouvelle guerre meurtrière entre l'Azerbaïdjan et l’Arménie,"Monsieur le Ministre-Président, l'Histoire repasse les plats. En ce lieu même, en décembre 2020, nous adoptions une résolution qui envisageait de soutenir les initiatives prises par la Belgique et la CRI N°2 communauté internationale pour tenter de sortir, de manière pérenne, du conflit  opposant l’Arménie, le Haut-Karabakh en particulier, et l’Azerbaïdjan.  Depuis hier, il est permis de craindre le pire à nouveau dans cette région où ce conflit se réveille à la frontière arménienne. L’Azerbaïdjan a frappé en effet lourdement le territoire arménien, pays avec lequel nous avons des liens particuliers au sein de la Francophonie. Son adhésion à l'Organisation internationale de la Francophonie et l’organisation de sommet de la Francophonie à Erevan en attestent à suffisance. À l’époque, il existait un agresseur et un agressé; toute ressemblance avec une situation semblable vécue aujourd’hui est purement fortuite. Quoique.  La France a déjà annoncé son intention de saisir le Conseil de sécurité de l'Organisation des Nations unies tant la situation lui paraît préoccupante et tant elle réveille un face-à-face inquiétant dans cette partie du Caucase. La «guerre des 44 jours», en 2020, avait fait plus de 6 000 morts. Les frappes de ce 13 septembre ont déjà provoqué la mort d’une centaine de personnes. Légitimement, la communauté internationale se montre attentive à ce qui se passe dans cette région du monde et, de surcroît, dans des pays où nous  avons des relations particulières au travers de la Francophonie.  Quelle est votre analyse de cette nouvelle situation et de la donne politique dans cette région du Caucase? Vous êtes-vous entretenu à ce propos avec la ministre fédérale des Affaires étrangères, Mme Lahbib? De quels leviers disposent la communauté internationale, la Francophonie et, plus largement, l’Union européenne?",Politique et International
